随机波动 114： 世界如此疯狂，我们何必正常
   会议讨论了文学、创作、女性主义作家的主题，包括阅读赫塔米勒的《呼吸秋千》和思考暴力等话题，探讨了东欧历史和文化，
中国对社会主义现实主义文学的定义存在问题，还探讨了金艾兰和萨利鲁尼的作品以及他们对读者的影响，以及女性在文化大革命期间的经历和女性主义问题。
会议旨在平衡奉献和追求个人成长，使生活更美好。
00:00:11	女性主义作家会议：细读政治线索，聊作家作品
00:03:07-->00:03:10	反差一种对比同时也是也是一次融合
00:03:11-->00:03:16	就好像我们的身体是政治的那国家大事能不能写成身体的或者女作家
00:03:16-->00:03:19	在书写人类命运的时候他可以有怎样的写法
00:03:23-->00:03:26	不太好切入的角度来聊一下这种
00:03:30-->00:03:37	就也聊到悦然其实听了我们讲的那个性的湮灭的一些节目嘛嗯然后那期节目里其实我是提到了
00:03:37-->00:03:40	赫塔米勒这位女作家里聊到了她的罗马尼亚三部曲
00:03:41-->00:03:47	然后你最近也在读赫塔米勒是不是晋急补了一点课也没有没有看太多对那你喜欢他吗
00:03:50-->00:03:53	嗯最喜欢的那些女作家我想
00:03:53-->00:03:58	可能是因为他就是在很多年前就读过一点然后后来就没有
00:03:58-->00:04:02	更深的研读了对所以就是可能很难有那种特别特别深的
00:04:03-->00:04:06	感情和一种我觉得有的时候其实可能还是需要一种
00:04:06-->00:04:09	契机吧有的时候其实好多作女作家就像
00:04:16-->00:04:22	就有一种好几次过他这个门都没有路的感觉但是最后还是会进去所以我觉得很多时候
00:04:22-->00:04:27	可能需要一个契机去走进一个作家嗯嗯我最近
00:04:27-->00:04:33	就也在读赫塔米勒那个呼吸秋千其实在随机波动上个月那个小红书的荐书里有提到
00:04:35-->00:04:41	可能聊这个女性与政治的光谱的一端就是她怎么样切入这种
00:04:45-->00:04:49	悲痛之中嗯比如呼吸秋千他讲的其实是
00:04:51-->00:04:55	然后在罗马尼亚的这些说德语的人被关押进了俄国的这个
00:04:57-->00:05:00	然后我我会觉得这个呼吸秋千好像一本
00:05:06-->00:05:11	具有痛感然后其实是为了反映这整个暴政或者整个劳动营的存在
00:05:14-->00:05:17	身体和这种国家机器的暴力放在了一起
00:05:17-->00:05:22	嗯我觉得那个赫坦米勒本身的那种语言就失性的并且是
00:05:22-->00:05:26	零散的碎散的然后并不是一种非常连贯的语言
00:05:27-->00:05:31	本身我觉得就是对那个政治的一种完全新的一种
00:05:31-->00:05:34	讲述的方式嗯就是这个方式我不能说
00:05:34-->00:05:38	我们不能说她是女性独有的但至少提供了一个
00:05:38-->00:05:41	和过去我们看待这个非常不一样的一个一个视角
00:05:44-->00:05:50	呃空气在炎热在那种体感在那些就是肌肤的感受上
00:05:53-->00:05:56	细微的细节上一个项链上要拴那个
00:05:58-->00:06:01	就是我觉得那些细节其实是
00:06:03-->00:06:07	我觉得这个政治和他看到的就是作为见证者的
00:06:11-->00:06:15	最近在看那个寒江的那个白嘛嗯就他也是很特别就是
00:06:16-->00:06:20	他其实是在波兰的时候在华沙的时候作为一个好像
00:06:25-->00:06:29	去想起了自己可能只有几个月大就死去的姐姐
00:06:33-->00:06:37	他在华沙的这样的一个死者纪念的这样的一个
00:06:45-->00:06:49	东西就是说其实那个白是一个非常非常私人的
00:06:49-->00:06:53	呃一个小说很多人也会说哎这是小说吗
00:06:58-->00:07:02	会把这个打通就是因为我觉得最个人的东西其实
00:07:02-->00:07:05	他就连着那个我们所谓的那个恒大的
00:07:09-->00:07:13	后来建国在那期节目里提了那本书之后我就去看了一下
00:07:13-->00:07:16	其实我只看了大概前十页嗯然后我觉得
00:07:16-->00:07:22	就是像岳然刚刚说的有一个契机能够让我读这本书就是因为我们其实也经历了一些
00:07:22-->00:07:25	共同的创伤这样的感受然后我当时看的时候
00:07:25-->00:07:30	我有两个感受一个是他的语言真的非常非常破碎这个建国在那期节目也谈到过
00:07:32-->00:07:42	你突然能理解他为什么要用一种那么破碎的语言来表述因为我们的生活以及我们自身确实都破碎了就是在经过了那种巨大的伤痛之后
00:07:58-->00:08:02	就是我们已经失去了就是在经历巨巨大创伤后我们失去了一种
00:08:03-->00:08:07	用一种直接的语言去表述一些经历的能力有点像这个感受
00:08:07-->00:08:11	所以我们要用一种很曲折的很婉转的方式
00:08:14-->00:08:20	就是有点这个感觉但是因为我最近在看格雷博他就在讲说权力其实是非常空洞的就有尤其是暴力
00:08:20-->00:08:25	所以其实有的时候我我又会在想说我们这样的去反复书写暴力
00:08:26-->00:08:30	你用不同的语言你用很诗信的语言也好用什么很优美的语言也好
00:08:30-->00:08:39	他是不是指向的是他本质的一种空洞那除了对他的反复书写以及用这么多隐喻来表达他之外我们可不可以用
00:08:39-->00:08:43	另外一种方式讲述暴力因为肯定我们不能不讲述暴力
00:08:43-->00:08:47	但是当我们讲述暴力的时候我们要怎么去讲述它是
00:08:47-->00:08:52	直接面对他还是说我们要要用一种婉转的方式去
00:08:52-->00:08:55	绕着这个空洞一直写我觉得这是我最近比较
00:08:59-->00:09:03	确实他那种语言风格就是我觉得那个比喻隐喻
00:09:05-->00:09:13	一种特质吧对吧就是我是如此的会绕绕圈子兜圈子环绕着那个那个集权就是
00:09:13-->00:09:16	刚才视野说的中间的那个空洞的那个部分
00:09:17-->00:09:20	就是其实我觉得那个赫达米勒的小说里面有
00:09:25-->00:09:27	所以其实就是好像整个的东欧的一个
00:09:29-->00:09:32	一个叙事就是他的一个其实历史和这个文明的一个
00:09:34-->00:09:38	就他的小说所谓的星群小说嘛就是全都是碎片
00:09:43-->00:09:46	找不到就是说他是一个流浪的民族的这样的一种
00:09:47-->00:09:50	没有归属感的一个主体性是有很大的关系的
00:09:57-->00:10:00	丰富的修辞的一种语言来书写
00:10:02-->00:10:05	坚固的然后特别冷酷的那个那个政治
00:10:08-->00:10:11	似乎他除了这么写好像又别无他法
00:10:12-->00:10:15	如果这就是他的感受本身或者说
00:10:17-->00:10:21	会让他更难过所以他只能去写比如黑洞旁边的碎片呢
00:10:28-->00:10:32	就是二零一一年左右出的那一套赫达米勒的书来看
00:10:32-->00:10:36	你可以看到无论是他写罗马尼亚自身的这个
00:10:38-->00:10:42	还是他写这个苏联当时的这种集中营的故事
00:10:42-->00:10:46	还是写罗马尼亚当时的难民逃到德国去要面对的那种艰辛的
00:10:55-->00:10:58	永远做的都只能是你自己关心的东西
00:10:58-->00:11:02	我觉得赫塔米勒的书写也给我那样一种感受好像除了这么说话
00:11:07-->00:11:11	刚才那个月然也提到白就是白日寒江
00:11:12-->00:11:16	波兰做一个驻留项目的时候写的其实也是
00:11:19-->00:11:23	东欧的国家它比较惨痛的历史做了一个对照
00:11:23-->00:11:26	然后包括我们刚刚在开头的时候建国提到的比如说
00:11:30-->00:11:34	其实是可以跟奥斯维辛的那种暴力相提并论的或者说林兆说
00:11:34-->00:11:38	一个身体它承受的暴力跟一次核暴是不相上下的
00:11:42-->00:11:47	它的作用是什么嗯是不是女性好像需要通过这样一种比较用一种
00:12:02-->00:12:05	这种宏大叙事的书写已经固定的
00:12:05-->00:12:08	然后我们需要跟那个参照系发生关联
00:12:13-->00:12:18	不做这种比较呢就是大家能够理解到女性的痛苦的量级是什么
00:12:22-->00:12:26	引起重视的时候你就得需要把这个和那个联系在
00:12:28-->00:12:33	我是觉得其实真的是没有就至少在文学里它是非常非常平等
00:12:44-->00:12:47	为什么我们要强调说这些事情他也像
00:12:55-->00:12:59	就是一个一个很个人化的叙事到底有多少价值
00:13:04-->00:13:07	表表达叙事其实女性的还是
00:13:12-->00:13:16	就像就是我我是会觉得在过去几些年里面如果一个
00:13:16-->00:13:20	一个女作家分享说我离婚以后什么痛苦的一年然后我
00:13:23-->00:13:27	就是我觉得嗯过去这些事情是不值得写的但是现在很多
00:13:27-->00:13:30	当代的重要的作家其实会把这些事情写写出来
00:13:32-->00:13:36	暴力的事件一样因为在里面真的还是能看到非常非常
00:13:38-->00:13:41	外界的这个社会发生了非常多的这种
00:13:41-->00:13:45	呃冲撞吧就是一个女性是怎么在这个
00:13:48-->00:13:57	所以你会不会觉得其实是我国对这种所谓的社会主义现实主义文学的定义它是有问题的就像很多年前
00:14:00-->00:14:04	就是为什么现在这么多苦咖啡文学它指的就是村上春树这种血
00:14:07-->00:14:09	可能跟他对比的就是一些家国叙事
00:14:17-->00:14:26	不是所有的题材都能写成小说就是他觉得现在的年轻创作者太容易把自己的生活写成小说而这是不是值得文学化的其实是一个存疑的问题
00:14:29-->00:14:33	其实上一代人其实他对现实主义的定义跟我们其实是
00:14:33-->00:14:37	不太一样的就是他的那个政治跟我们要聊的政治不是同一个政
00:14:37-->00:14:40	但你也可以说他们更有资本因为他们的经历
00:14:43-->00:14:50	他们有过和更大的历史连接的部分所以他们认为那部分是不能回避的
00:14:50-->00:14:53	但是他们可能非常难以带入更年轻一代的
00:14:54-->00:14:57	就是其实像包括像萨利鲁尼他
00:14:57-->00:15:01	在谈论政治但但他也并不是一个亲历者
00:15:01-->00:15:05	就这个这个角度这个距离还是完全不一样的
00:15:06-->00:15:10	确实还是从自自己的那个立场出发所以两代人之间的
00:15:10-->00:15:13	这个沟通和对话互相的理解还挺难达成
00:15:14-->00:15:24	在你写的那个剪之后你觉得会面对这样一个挑战吗就是你上一代会有会写你还在写我觉得当时会有很多人会觉得你为什么要写文革呢就是
00:15:28-->00:15:33	披萨就是上一代人其实已经一块一块的就是在派派对上你就都拿走
00:15:34-->00:15:37	然后就是我去拿着人家说就是这个已经分完了
00:15:40-->00:15:46	呃材料只属于一代人的那种感觉特别强烈嗯在我们的这个语境里
00:15:49-->00:15:56	二战其实一直都在还在反复的书写你不会觉得他是只属于一代人的话题你也不会觉得他讲
00:15:56-->00:16:00	就是他什么什么叫讲完了什么叫这件事情
00:16:02-->00:16:06	呃然后不再需要了这个是一个谁来判断的事情呢
00:16:08-->00:16:12	就像刚刚悦然在说可能上一代人他们觉得他们和更
00:16:12-->00:16:16	宏大的历史发生了关联是因为他们现在还在把握话语权
00:16:16-->00:16:22	就是是他们在定义什么东西是重要的重要的就是他们经历了那一个时代然后他们是
00:16:24-->00:16:28	所以他们的经历是重要的但是可能对于他们来说
00:16:28-->00:16:32	他们就会觉得你们现在的东西可能是轻飘飘的因为你们没有经历过那个
00:16:35-->00:16:40	他们现在正在享有话语权的有特权的一种发言当然
00:16:40-->00:16:47	就是他们好像是用自己的特权否定了下一代人的经历但实际上我觉得就像刚刚你说的文学里面可能没有痛苦的等级
00:16:48-->00:16:51	可能也是这样的就是每一代人都有自己在
00:16:51-->00:16:54	面临的痛苦或者都有自己所谓的集体记忆但是
00:16:55-->00:17:11	更拥有话语权谁可能就认为他所经历过的更重要我觉得可能我们现在面临的是一个这样的状况是的是的而且我觉得这种比较级其实它是无处不在的就不仅存在在代际之间嗯就比如说我很多朋友去看萨利鲁尼的小说
00:17:11-->00:17:15	看到中间就会产生一种厌烦的情绪嗯就是觉得说
00:17:15-->00:17:20	你聊的这些第一世界的政治问题比如说环境问题什么的这些
00:17:26-->00:17:31	严峻的问题我们甚至还都不能写然后你花很大的篇幅来讨论这些问题
00:17:31-->00:17:37	不觉得说有必要吗其实我觉得这种比较其实是不自觉的人就会去做这种比较就是
00:17:42-->00:17:45	这种东西好像是无处不在的是的这个
00:17:45-->00:17:48	芝前说的是对的你就比如说比较两个人就是
00:17:48-->00:17:53	啊金艾兰和这个萨利鲁尼嗯就会发现说其实如果你采访很多人就会发现
00:17:53-->00:17:57	还是我们的读者很多的知识女性还是会更
00:18:01-->00:18:05	东亚的然后充满着痛苦
00:18:05-->00:18:09	然后在这个男权世界里面的那里面所有的痛苦我们都非常熟悉嗯
00:18:09-->00:18:14	然后就是你觉得他很真实那边呢你就觉得是一个傲慢的
00:18:14-->00:18:19	一个爱尔兰小姐对吧然后讨论着很多不切实际的问题
00:18:21-->00:18:26	那么呃这个奢侈的房子里面然后那么年轻成为了一个
00:18:26-->00:18:30	呃女作家然后现在没有没有材材料可以写了然后只能到处
00:18:32-->00:18:35	不值得同情或者他那个痛苦就显得
00:18:38-->00:18:45	我觉得这个是我们要提醒自己我们真的经常每个人都在做这样的比较这样的判断
00:18:45-->00:18:48	我们也会在说哎哪个痛苦我更能理解
00:18:50-->00:18:53	不太能理解所以我就会觉得他不那么重要
00:18:55-->00:18:59	去年吧就是萨耶鲁你最新那个小说美丽的世界你在哪里出版的时候嗯
00:19:00-->00:19:03	就是还它里面还有一句话引起过讨论就是里面的那个女主角
00:19:03-->00:19:07	表现了对于苏联解体的惋惜以及对共产主义的向往
00:19:08-->00:19:10	嗯就好像是一个怀旧的温柔乡
00:19:10-->00:19:20	对对对然后就是这句话就是当他单独被拎出来在中文互联网上讨论的时候你就觉得那个语境很神奇因为就是跟那两个女孩年轻人的人在
00:19:20-->00:19:26	爱尔兰的语境里讨论这个说这个话他其实感受是非常不一样有一种错位
00:19:27-->00:19:34	带入其中并且带入一种不是那么正确的位置上来看这个问题嗯但我也想跟悦然探讨就是
00:19:43-->00:19:46	太过于代表比如千禧一代的政治态度
00:19:47-->00:19:52	千禧一代知识左派他的一些言行不一呀然后他的
00:20:03-->00:20:07	诶对于某某一代人的讨论或者对于其中一个议题的讨论
00:20:18-->00:20:22	但是他也被消费的非常的严重就是因为
00:20:24-->00:20:27	符号一个代表所以大家都会讨论
00:20:27-->00:20:31	他身上的那些各种各样的标签然后就会忽略他的
00:20:32-->00:20:36	天生的那个才华的部分然后他也进入了一个
00:20:36-->00:20:39	商业的出版的流程我觉得这个流程也会
00:20:41-->00:20:44	比较快的出现作品然后比较快的
00:20:44-->00:20:47	和公众更多的交流其实都对
00:20:50-->00:20:54	特别特别好的事情嗯那说回到他的作品其实我觉得他作品里面
00:21:07-->00:21:14	就是总是以什么一个一个人跟另外两个人那既然是互联网时代那不是可以迅速可以认识几百个人吗
00:21:16-->00:21:20	还在在乎那一个人的关系就说明他还是非常非常
00:21:20-->00:21:23	就是他的主人公的确立永远是通过
00:21:24-->00:21:27	朋友和这个爱人几个人的关系来确立说
00:21:27-->00:21:34	哎我是存在的我在这个世界上有价值因为我和他们有特别紧密的联系嗯所以我觉得这个还是一个
00:21:34-->00:21:39	好像连接着奥斯汀时代联系连接着那个十九世纪的文学的一个
00:21:39-->00:21:43	一个脉络的一个东西包括他其实很多人都会发现说
00:21:47-->00:21:52	就是短短信或者是邮件的方式其实不就是过去的写信嘛
00:22:03-->00:22:06	但他其实还是挺书信小说尤其是那个
00:22:11-->00:22:26	塑料制品的啊反感啊然后就就还是有很多古典的那个东西在里面的对但是这些嗯现在都不太容易被看到了更看到的还是它作为一个好像千禧一代的这种女性然后这样的一种啊
00:22:27-->00:22:33	嗯但好像提到塞耶鲁尼对政治的书写或者他政治态度的表露好像又跟
00:22:37-->00:22:54	像像提到莱心就是我们可以说金色笔记啊然后第十九号房间或者第五个孩子他的那个政治所谓的政治主张吧然后他的女性主义的是锋芒毕露的包括阿特伍德的书你也能清晰的看到是他在害怕些什么他在焦虑些什么他在主张些什么
00:22:56-->00:23:05	对就是你需要通过文化批评的方式去让那个议题暴露出来对对对它因为它还是里面的一个材料它并不是一个非常完整的主张
00:23:06-->00:23:09	就是他没有一个像我觉得像阿德伍德那么
00:23:14-->00:23:19	是人物在关系在填充他的剧情里面所需要的一些内容
00:23:20-->00:23:23	我觉得在我看来他的小说并不算
00:23:27-->00:23:32	就是我读的时候也会觉得说我究竟应该把这些他们谈论的内容理解为他的政治表达
00:23:33-->00:23:36	还是理解为他对日常生活的一种描写或甚至是讽刺
00:23:37-->00:23:46	对就是比如说我在想说如果把我们三个的聊天记录每天写成小说可能也差不多就是这些内容就是年轻的女生也会聊政治
00:23:46-->00:23:51	会聊性别的议题但可能也会聊吃什么穿什么嗯就是我觉得他其实是一种
00:23:51-->00:23:58	你也可以理解为它就是对日常生活的一种描写对我觉得就是这样的嗯不能把它完全看成是一个
00:24:03-->00:24:08	对吧而且其实是他瞬息间的想法也不见得是一个
00:24:08-->00:24:20	恒固不变的一个东西是就是我觉得岳圆说的还挺有道理就是他其实是为了填充两个人的关系嘛就是我每天干了什么就是跟这人聊天了嗯那咱们聊天就得有一个聊天的内容写在里面
00:24:24-->00:24:30	走进一个屋子看到了什么他可能就写说我跟这个人发微信发短信聊了什么
00:24:35-->00:24:38	的政治立场是由他的很多的部分组成
00:24:41-->00:24:44	然后是由它吃什么穿什么组成
00:24:45-->00:24:48	政治表达组成的所以这个部分其实是
00:25:02-->00:25:05	但他可能既是一种立场的外化他也是
00:25:05-->00:25:11	就只是薄薄一个泡面而已而且是一个瞬时的泡面我觉得这个也挺有趣的就我们
00:25:17-->00:25:28	但其实如果把我们的聊天记录抛一个出来你也会发现我们可能上一句在批判消费主义下一句就在交流买了什么新衣服就是不是体现出来它也是这样的一个并存的状态
00:25:32-->00:25:39	我总觉得不是他最真值得珍视的那些东西就是就是黄月说的那个感觉就是好多的
00:25:39-->00:25:43	标签很多东西好像你感觉得挖很深很深把这些东西全都
00:25:44-->00:25:47	才能看到他的那个其实比较珍贵的东西
00:25:50-->00:25:53	去去去看到他那个真实东西比如说我说
00:25:55-->00:25:59	嗯比如他对话写的很好从我觉得从文学的角度
00:26:03-->00:26:09	还有文学性然后又非常动人就是反正有很多它的独特的文学的品质
00:26:13-->00:26:21	被其他一些没有那么重要的一些东西环绕着也也就不太容易被看到了但我觉得鲁尼之所以成为一个现象也在于
00:26:22-->00:26:25	他确实很特别就一个是我觉得评论鲁尼的输的方式
00:26:25-->00:26:28	他明明应该是文学的但现在变成了一种文化评论
00:26:28-->00:26:31	就是我们在揪住其中那个社会性的议题不放
00:26:32-->00:26:37	对然后另外一个就是他的自我到底投射了多少在这个小说中就是每一部出来都在被
00:26:40-->00:26:44	就根据他的小说改编电视剧所有的女主角长得都跟她一样
00:26:45-->00:26:48	就至少是特别喜他然后就有的时候我觉得
00:26:48-->00:26:52	大家在解读这个文本的时候就会很倾向于把这个女主角解读
00:26:52-->00:26:58	成他自己对我觉得这个就是我们后面要聊到的对就是女性作家和自传的问题因为我觉得
00:26:59-->00:27:17	就我在想这个问题因为我们之前聊剩余价值其实聊过作品和人品然后我就回想那期节目其实我们聊的都是男性创作者就比如说我们聊了屋迪 allen 聊了菲利斯对弗利普罗斯还有那个波兰斯基波兰斯基对对对全部都是男性创作者其实当时就在聊说如果
00:27:17-->00:27:20	他们在生活中比如说他们有性骚扰的行为但是
00:27:21-->00:27:25	其实他们的作品我没有很喜欢看我们要怎么面对这种矛盾的感觉
00:27:27-->00:27:33	如果这性别转换一下变成一个女作家她的镜像问题是什么我感觉其实就是自传
00:27:37-->00:27:43	解读女性作作者作品的时候尤其是当这个作品是以第一人称叙述的时候
00:27:45-->00:27:53	你是不是在写你自己对就会有一种亏思欲我觉得这也是费兰特他为什么会选择一种防御性的措施就是把他的
00:27:53-->00:27:56	私人生活和他作品对完全切割开来
00:27:56-->00:27:59	如果你不切割开来就是当一个女性你进入这样的一个
00:27:59-->00:28:02	文学市场也好文学的这种舆论场也好
00:28:02-->00:28:06	其实你都是在一个被审视的状态下你的作品被截读
00:28:06-->00:28:09	我觉得这种情况就是会导致很多人认为说你的作品
00:28:12-->00:28:17	有点像说不再去探讨这个作品本身了而去探讨你的私生活
00:28:17-->00:28:22	对我觉得这也是一个挺微妙的问题可能在鲁尼身上也我觉得他也面临这样的问题
00:28:25-->00:28:30	但是就是来新我觉得他就是互相成就也互相伤害就他是一个最典型的这种例子
00:28:31-->00:28:35	就是他的个人因为这些传奇的一生其实成为了他的
00:28:35-->00:28:38	作品的一个特别重要的一个注脚吧就是其实
00:28:40-->00:28:43	嗯其实挺可悲的一件事情是我觉得以后
00:28:46-->00:28:50	但是研究来信的生平然后研究他的
00:28:52-->00:28:57	特别的多对最近几年在英国最受关注的一个话题就是其实还是关于
00:28:58-->00:29:01	就是好像有一种感觉就是说莱新真的很女性主义
00:29:04-->00:29:10	然后这是一个叫劳拉费格尔的一个女作家也是啊卫报的记者她的她的书里面
00:29:12-->00:29:16	就是在讲这件事情当然还有很多论证讲他到底有没有抛弃这两个人
00:29:24-->00:29:29	呃能抛弃两个孩子变成了一个女性主义很重要的一个一个信号和一个表现
00:29:33-->00:29:37	坦白说我好像没觉得这件事儿特别不能接受
00:29:39-->00:29:43	就抛弃两个孩子这个事情我因为这个好像在探测你的女性主义的这个
00:29:46-->00:29:53	我之所以觉得这件事情我觉得他们好像我觉得西方学者好像太大惊小小怪了我觉得这个事可以接受
00:29:55-->00:29:59	我读了太多的我们在文革还有那些什么什么一个什么幸存者的
00:30:02-->00:30:05	当时的那个革命的过程里面有很多人都会抛弃孩子
00:30:11-->00:30:13	不方便养孩子然后就是其实可以这么做
00:30:16-->00:30:22	其实这个事情并不能探测我的女性主义比较高是因为我的人性的部分还没有完整就是
00:30:25-->00:30:28	我觉得谈女性主义是没有没有意义的它其实是一个
00:30:31-->00:30:34	所以其实莱新当时经历的那个那个过程因为他也是有这个
00:30:52-->00:30:56	未来的一个美好的家园就是他离开非洲的时候跟两个孩子说
00:30:57-->00:31:01	就是以后的世界再也不会有饥饿再不会真的是把这些话都说给他的孩子听的
00:31:03-->00:31:06	是在一个异常的情况下做了这个事情但是现在
00:31:07-->00:31:10	新的一代女性主义者来说这个事情就很值得讨
00:31:10-->00:31:13	就是有没有抛弃过孩子是一个
00:31:19-->00:31:23	兰心的这些事情就远远超过了对他的作品的
00:31:28-->00:31:42	只有女性而不是男性被放到了这样一个在个人和革命中间一定要抉择的这样的一个位置上因为男性他们可能不需要面对这样的问题而女性需要在那样的情况下他要面对的是我只能二选一
00:31:42-->00:31:47	这样的问题所以我觉得好像要问为什么是女性才是更重要的问题
00:31:50-->00:31:54	呃一直是女性需要去面对的部分
00:31:59-->00:32:19	男性革命者甚至不知道自己有没有孩子对呀对这个话题好像都是一个超级自然的事对就是他们在他们这里可能是不需要被讨论的问题对嗯但是对女性来说就是女性需要持续的问自己这样的问题也会持续的被人质问或者说这个这样的一个标准是被用来衡量你是不是一个女性主义
00:32:19-->00:32:23	者的这样的一个标准是的对就是这件事情本身就有点荒谬我感觉
00:32:23-->00:32:27	对所以就是来星留给大家好像最大的遗产就是
00:32:27-->00:32:30	他的自自己的经历和他的小说之间
00:32:31-->00:32:36	所所可以去研究的她的女性主义的这部分母性的部分
00:32:38-->00:32:41	像他在第十九号房间里面都有对
00:32:49-->00:32:54	金色笔记我觉得现在没有人把它纯粹当成一个文学的著作去读了
00:32:57-->00:33:02	对这个母殖对这些议题感兴趣你纯粹说是我想欣赏一个
00:33:11-->00:33:21	宣传这本书的时候其实也会把它当成一个比如女性主义圣经或者是开山之作所以其实你是带着一种预判和一种主观的预设去读这样一本书
00:33:22-->00:33:25	对对对嗯我记得悦然在女作家的讲稿里也提到说
00:33:28-->00:33:34	金色笔记那种女性主义弥补了她在前面的共产主义的这个道路上探索的一种幻灭感
00:33:35-->00:33:49	对我觉得这个评价也很有趣因为莱欣后面她又否认自己是女性主义者对对她后面其实就是在跟这跟这自己信奉的两种主义做斗争对莱欣一生真的是就是接受了太多的主义然后又离开了太多的主义
00:33:50-->00:33:55	其实是个很确实是一个很有能量很了不起的一个一个女性
00:33:55-->00:33:58	但是也是被各种主义我觉得伤害也还是有
00:33:58-->00:34:02	挺多的吧嗯包括他跟女女性主义的这种因为
00:34:02-->00:34:06	他不希望大家总是看到这种就是把他的作品当成一个
00:34:06-->00:34:10	和他本人的经历去对照然后去做这样的研究的一个
00:34:18-->00:34:22	嗯一直到这个整个跨越了一个世纪然后又从非洲到
00:34:23-->00:34:27	到这个英国又经历了这个战争然后经历了这么多的文明
00:34:38-->00:34:43	所以他就拼命的写传记自己写了好几本传记他想我把这个传记交上
00:34:43-->00:34:47	你就就可以把那个金色笔记当成是那个纯文学去看
